fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	lambda_l1	lambda_l2	verbosity	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221019 001729	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	128	TRUE	671017	0.0909609849583381	0.99725148430298	377	19	7297	26610000	33
20221019 001749	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	70	TRUE	671017	0.0863066652018855	0.930743465041024	3304	31	8300	26280000	34
20221019 001840	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	169	TRUE	671017	0.131010617934866	0.513108322355726	755	150	7541	25960000	35
20221019 002005	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	395	TRUE	671017	0.0223556772597365	0.415276284312843	6360	798	9683	25440000	36
20221019 002034	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	70	TRUE	671017	0.0945581964752656	0.999214616504615	1426	560	7647	26630000	37
20221019 002055	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	130	TRUE	671017	0.111513254872433	0.759202707854512	1205	17	7640	26720000	38
20221019 002239	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	595	TRUE	671017	0.0147044167370595	0.200490837776241	3984	16	10153	25700000	39
20221019 002308	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	171	TRUE	671017	0.0775703303643625	0.998733113606667	1469	17	7636	26810000	40
20221019 002317	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	5	TRUE	671017	0.229256744086021	0.793697141898097	35	18	7487	21990000	41
20221019 002349	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	181	TRUE	671017	0.0437569662280798	0.978019704946377	1679	16	8644	26880000	42
20221019 002409	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	89	TRUE	671017	0.063923231716633	0.982449941334119	303	16	8593	26340000	43
20221019 002455	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	132	TRUE	671017	0.0349101449875089	0.999849891023152	1702	527	7957	26490000	44
20221019 002512	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	36	TRUE	671017	0.274514990463836	0.978553135979105	6705	16	8479	25290000	45
20221019 002527	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	21	TRUE	671017	0.118057666561198	0.999483631929796	532	59	7152	25780000	46
20221019 002546	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	117	TRUE	671017	0.116805849997802	0.706564485141105	47	17	8598	25530000	47
20221019 002631	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	320	TRUE	671017	0.0438432560262356	0.815156526964522	1060	21	7555	26890000	48
20221019 002702	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	95	TRUE	671017	0.0930778679239884	0.803761491738822	1068	198	7503	26680000	49
20221019 002729	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	82	TRUE	671017	0.0751691106257789	0.798175427115685	2098	115	8329	26790000	50
20221019 002755	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	134	TRUE	671017	0.0550399825813923	0.688716558344872	809	16	7398	26730000	51
20221019 002838	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	273	TRUE	671017	0.0474358406821299	0.987820509853663	2199	20	9179	26610000	52
20221019 002937	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	262	TRUE	671017	0.0287048652759488	0.770181231222639	2317	146	8768	25910000	53
20221019 003001	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	71	TRUE	671017	0.0919390064550852	0.999255425694414	2067	265	7704	26040000	54
20221019 003044	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	196	TRUE	671017	0.0802773029008677	0.824410904955012	1564	754	8116	26810000	55
20221019 003107	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	68	TRUE	671017	0.10805747035738	0.999506253812952	2086	760	8378	26290000	56
20221019 003135	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	82	TRUE	671017	0.086951188851042	0.800114612794109	1568	65	7645	26630000	57
20221019 003217	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	116	TRUE	671017	0.042883473105306	0.9031726175515	1360	987	8121	26880000	58
20221019 003356	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	262	TRUE	671017	0.0267434036267681	0.560861676903367	1426	80	8138	27170000	59
20221019 003448	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	185	TRUE	671017	0.0402914030243872	0.280888993401353	1427	690	8236	26970000	60
20221019 004159	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	2704	TRUE	671017	0.00528283057073027	0.394792793302941	1341	17	7966	26790000	61
20221019 004301	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	186	TRUE	671017	0.0302075102519332	0.798279488311196	1408	538	8291	27020000	62
20221019 004404	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	267	TRUE	671017	0.0475303045925568	0.457343118137866	1502	58	8124	26400000	63
20221019 004459	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	181	TRUE	671017	0.0223121016193918	0.992358307658619	1407	45	8144	26760000	64
