fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	lambda_l1	lambda_l2	verbosity	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221018 233645	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	263	TRUE	671017	0.0265529747126182	0.714472942743524	32	948	8143	26440000	49
20221018 233811	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	240	TRUE	671017	0.0288050523941924	0.541118243984708	1173	899	8119	26890000	50
20221018 233835	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	61	TRUE	671017	0.205026619157462	0.696842244229815	2472	461	8341	25480000	51
20221018 233850	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	56	TRUE	671017	0.265506099713065	0.830868452429981	5549	792	9394	25460000	52
20221018 234349	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1615	TRUE	671017	0.00634475301026745	0.234926520193019	3503	390	6946	26350000	53
20221018 234520	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	175	TRUE	671017	0.0157073574270008	0.613602081191327	1013	1017	8331	26540000	54
20221018 235507	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	802	TRUE	671017	0.00549397970722441	0.473662769998844	421	853	7968	27350000	55
20221019 000431	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	822	TRUE	671017	0.00514500114734982	0.418728599392458	201	934	7745	26910000	56
20221019 001218	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1123	TRUE	671017	0.00502544266776991	0.374444567624616	391	325	7124	27280000	57
20221019 001823	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	513	TRUE	671017	0.00555367309471976	0.324061299584428	110	465	7296	26770000	58
20221019 002506	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	801	TRUE	671017	0.00547542516150202	0.409273550648759	366	651	6957	27130000	59
20221019 002934	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	509	TRUE	671017	0.00603465973264496	0.428885673889255	285	160	7104	27080000	60
20221019 003448	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1577	TRUE	671017	0.00662760185776023	0.381241402475132	5366	288	6988	25390000	61
20221019 004135	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	648	TRUE	671017	0.00533970945155717	0.446646549877536	11	388	7023	26200000	62
20221019 005014	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1838	TRUE	671017	0.00500355526495538	0.410132720742398	791	140	7735	27330000	63
20221019 005651	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1219	TRUE	671017	0.00511439942013577	0.376537171492241	770	627	7393	27300000	64
20221019 010040	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	852	TRUE	671017	0.00600033286428991	0.331782622536555	616	27	6880	26400000	65
20221019 010705	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	910	TRUE	671017	0.00537935266084147	0.420069222526289	529	523	7866	27310000	66
20221019 011425	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	2235	TRUE	671017	0.0059552762701695	0.709945122040156	1506	495	7973	26940000	67
20221019 011954	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	820	TRUE	671017	0.00611715449339697	0.476226792184913	711	862	7677	26970000	68
20221019 012744	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	727	TRUE	671017	0.00775555450115097	0.38208711397648	426	717	8152	27380000	69
20221019 013338	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	899	TRUE	671017	0.00516494727604887	0.47551511003467	406	125	8177	27010000	70
20221019 013932	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	1266	TRUE	671017	0.00548652000072662	0.396474107242841	1449	246	7484	27120000	71
20221019 014755	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	950	TRUE	671017	0.00689734091338781	0.394866637332679	459	228	7500	27400000	72
20221019 015443	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	866	TRUE	671017	0.00525661875463502	0.39757898153578	424	693	7982	27160000	73
20221019 015540	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	153	TRUE	671017	0.041648550574913	0.403584796462045	0	134	7315	24090000	74
20221019 015819	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	411	TRUE	671017	0.0149129267250312	0.330841352480244	479	841	8615	26930000	75
20221019 020107	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	371	TRUE	671017	0.0105779233958082	0.442213596828259	849	319	7494	27100000	76
20221019 020158	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	135	TRUE	671017	0.032668527830165	0.726589676115994	1272	834	5432	25540000	77
20221019 020534	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	518	TRUE	671017	0.00794942592041983	0.375846285424032	701	256	8238	27050000	78
20221019 021038	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	825	TRUE	671017	0.00508389203410429	0.663949431125237	890	202	6378	26450000	79
20221019 021149	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	137	TRUE	671017	0.0280652764923359	0.721382525134553	769	737	7754	27300000	80
20221019 021305	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	261	TRUE	671017	0.0267096423669183	0.703686758569523	1124	831	7798	26970000	81
20221019 021943	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	779	TRUE	671017	0.005239192184676	0.482785334238713	465	476	7263	27080000	82
20221019 022121	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	371	TRUE	671017	0.0357919383826747	0.681517235432949	838	508	8092	27260000	83
20221019 022436	binary	custom	TRUE	TRUE	FALSE	0	0	-100	-1	0	31	476	TRUE	671017	0.00838655497317324	0.534523825751301	1617	189	7976	26770000	84
